model,element,n_all,spearman_all,pearson_all,n_hc,spearman_hc,pearson_hc,n_lc,spearman_lc,pearson_lc
DH1_distributional,HBG1,633,0.3833693313964037,0.5783087868046546,125,0.7056257006625847,0.6538260054730028,508,0.1828956790647518,0.18262856268907793
DH1_distributional,PKLR,1025,0.34819206183808965,0.6401636606186379,180,0.6985768471012763,0.7521806247310965,845,0.14969017862484418,0.2232138067348237
DH2_distributional,GP1BB,869,0.1778466721719397,0.3517122919607386,143,0.48928435555096966,0.39583682296806344,726,0.03398099249584862,0.09878336871879582
DH2_distributional,HBB,432,0.44861264425333947,0.5326175718059829,64,0.705110287029044,0.7264857983578484,368,0.3244006280802535,0.3637193664699965
DH2_distributional,HBG1,633,0.42337286811843033,0.6230454310348266,125,0.7162511684467496,0.7054837152175645,508,0.27185124991378734,0.25536354918804144
DH2_distributional,PKLR,1025,0.30848348733992603,0.38205945391104335,180,0.575314376375352,0.5100513750650857,845,0.149309942023521,0.185373479231244
DH3_distributional,GP1BB,869,0.28514788983446954,0.4343994371776804,143,0.6409196944681254,0.5508426873882925,726,0.13573852585756124,0.22414124298020707
DH3_distributional,HBB,432,0.37613156301066075,0.48881100518784243,64,0.6117784421403729,0.6868786826336442,368,0.25881090078611185,0.31586045161739756
DH3_distributional,HBG1,633,0.40139401893607196,0.6416696294714747,125,0.6698961056960517,0.6970819098272545,508,0.24553435220797398,0.21096240702826008
DH3_distributional,PKLR,1025,0.36810994623468146,0.5887411145531002,180,0.6938542653360971,0.6817453708945814,845,0.18505119789125637,0.2538403447321706
DH4_heteroscedastic,GP1BB,869,0.22562573883390807,0.44169934980882797,143,0.6152780632245584,0.5366232803818283,726,0.07072323374714491,0.12828327619176083
DH4_heteroscedastic,HBB,432,0.3716445477896549,0.4682113303784905,64,0.7032771056906955,0.7887236813646556,368,0.2380608582347642,0.3015791725910605
DH4_heteroscedastic,HBG1,633,0.3612050507777466,0.472207109188246,125,0.6293177576458254,0.5810146149388986,508,0.23539596866710663,0.1993280518456705
DH4_heteroscedastic,PKLR,1025,0.38415866008065996,0.5350332611749787,180,0.6905042160490767,0.7141039404971067,845,0.21646846837467967,0.24568765829035466
DH5_heteroscedastic,GP1BB,869,0.2795864892086975,0.38300102700148647,143,0.6333097081826166,0.5845119578646805,726,0.0876313007950468,0.14070178309433087
DH5_heteroscedastic,HBB,432,0.420021418389649,0.4794813258201118,64,0.5889782492446628,0.625012448309758,368,0.3455841126453475,0.3611529635096961
DH5_heteroscedastic,HBG1,633,0.3665704350849121,0.3732792396129426,125,0.5619852314588945,0.5076133269071625,508,0.22815506408562933,0.1884875622959925
DH5_heteroscedastic,PKLR,1025,0.3277957960593474,0.47548798163498496,180,0.685675659137533,0.6696192522669073,845,0.1460958039222811,0.15248539779754822
DH6_heteroscedastic,GP1BB,869,0.2471549996643811,0.36309890856808835,143,0.5894394096823375,0.47762638889343656,726,0.073562745917404,0.13826924205879934
DH6_heteroscedastic,HBB,432,0.3563295223524039,0.4890702520501786,64,0.6297665340229183,0.6817008344956174,368,0.21075557744606083,0.3099239398936456
DH6_heteroscedastic,HBG1,633,0.3180920539342019,0.551718540693743,125,0.7131415752143682,0.7078227881977541,508,0.13588968460700393,0.12239207279567144
DH6_heteroscedastic,PKLR,1025,0.3318091168010575,0.4698765197302327,180,0.6521031443231985,0.6598836901550709,845,0.15362149487443907,0.17028207817914046
DH7_distributional_dual,GP1BB,869,0.31184695385938194,0.5167725051192427,143,0.6904769595264262,0.5644439397836343,726,0.08903724938117194,0.22955540769186933
DH7_distributional_dual,HBB,432,0.46473001184498625,0.5309701375569752,64,0.6948215567675627,0.7232058646932467,368,0.3598126478553507,0.39425609035046083
DH7_distributional_dual,HBG1,633,0.44746615656414457,0.5950406171856298,125,0.6901361161917994,0.605552251357089,508,0.28931455146549195,0.2260965892604633
DH7_distributional_dual,PKLR,1025,0.3380103109186383,0.418587833567763,180,0.6435109263883377,0.581824335519997,845,0.16797326331357904,0.17637404866339867
DH8_distributional_lv2,GP1BB,869,0.3216861720326274,0.4719710534496759,143,0.6624177004931263,0.5255910106383656,726,0.14779440240021308,0.22977620474869578
DH8_distributional_lv2,HBB,432,0.3636768720423788,0.47098877479084367,64,0.6032999784505109,0.6963339734880423,368,0.2484932220336574,0.31470120156232073
DH8_distributional_lv2,HBG1,633,0.41576163444038844,0.6559218952851196,125,0.7297434845370528,0.7276273578706965,508,0.21707884344012365,0.23284644146929875
DH8_distributional_lv2,PKLR,1025,0.35381770274582236,0.6293752055726116,180,0.7106137717354442,0.7634244204217102,845,0.15618868372196018,0.2009935398013709
DH9_distributional_lv05,GP1BB,869,0.32533387379647166,0.4765029760266523,143,0.6719835435558977,0.532280835237636,726,0.14731940874412122,0.22106586196324396
DH9_distributional_lv05,HBB,432,0.3540041930499933,0.45812372434987036,64,0.6019480072134787,0.6578047742992433,368,0.24500123102407856,0.3001819065900525
DH9_distributional_lv05,HBG1,633,0.37175540850445726,0.5708213696710667,125,0.6135946464105528,0.6001739090155513,508,0.22291308393241374,0.2175545862996355
DH9_distributional_lv05,PKLR,1025,0.290735199835757,0.5808506318454923,180,0.6091008992522481,0.7193186366703482,845,0.12097896341394003,0.17980619454579802
HN1_hard_negative,GP1BB,869,0.2848513814390871,0.4335072755163647,143,0.6695741250286089,0.5643031784620415,726,0.11238243522629382,0.16856051149949816
HN1_hard_negative,HBB,432,0.3975349710676802,0.5180012645888439,64,0.6068975968270199,0.6652359548200153,368,0.27769152889351406,0.3617173848525831
HN1_hard_negative,HBG1,633,0.41403333362765093,0.655735064897133,125,0.7134273382288064,0.7185203078004629,508,0.24608357569495118,0.23244083066106339
HN1_hard_negative,PKLR,1025,0.3512859974529892,0.48927247498455895,180,0.6616481096904243,0.6735128847879088,845,0.16139827327102294,0.18730532022026097
HN2_hard_negative,GP1BB,869,0.26277908135655925,0.40524419584096094,143,0.5569779336634886,0.44210838580002004,726,0.10171407112052824,0.1996685371413845
HN2_hard_negative,HBB,432,0.3999621493915007,0.5199928642603215,64,0.7017418163198285,0.7342757310626645,368,0.2852427923030918,0.3313391488803911
HN2_hard_negative,HBG1,633,0.35012725442718867,0.4477207368161901,125,0.599785840099958,0.5779998403367889,508,0.2184373428820701,0.19027858905671707
HN2_hard_negative,PKLR,1025,0.3326380110464064,0.5209315457522212,180,0.6753209613412884,0.6600725654846348,845,0.1404229582869031,0.20220062315954418
HN3_hard_negative,GP1BB,869,0.32821463437376486,0.5014326895181737,143,0.5786544911466449,0.5052443936934915,726,0.14564592417444566,0.28538422098818406
HN3_hard_negative,HBB,432,0.367531797941915,0.5130212974125103,64,0.6166822022204553,0.7537087373184894,368,0.24990004133230373,0.3340345189757449
HN3_hard_negative,HBG1,633,0.4107093014714663,0.5850084193760386,125,0.6864580696511268,0.6494939917717095,508,0.25452996997400357,0.16040500000391958
HN3_hard_negative,PKLR,1025,0.26107479633701525,0.42226660575486463,180,0.5646798218819116,0.6361870692678119,845,0.11552666097494553,0.1260980439237652
HN5_hn_temp2,GP1BB,869,0.2848513814390871,0.4335072755163647,143,0.6695741250286089,0.5643031784620415,726,0.11238243522629382,0.16856051149949816
HN5_hn_temp2,HBB,432,0.3975349710676802,0.5180012645888439,64,0.6068975968270199,0.6652359548200153,368,0.27769152889351406,0.3617173848525831
HN5_hn_temp2,HBG1,633,0.41403333362765093,0.655735064897133,125,0.7134273382288064,0.7185203078004629,508,0.24608357569495118,0.23244083066106339
HN5_hn_temp2,PKLR,1025,0.3512859974529892,0.48927247498455895,180,0.6616481096904243,0.6735128847879088,845,0.16139827327102294,0.18730532022026097
HN6_hn_temp05,GP1BB,869,0.2848513814390871,0.4335072755163647,143,0.6695741250286089,0.5643031784620415,726,0.11238243522629382,0.16856051149949816
HN6_hn_temp05,HBB,432,0.3975349710676802,0.5180012645888439,64,0.6068975968270199,0.6652359548200153,368,0.27769152889351406,0.3617173848525831
HN6_hn_temp05,HBG1,633,0.41403333362765093,0.655735064897133,125,0.7134273382288064,0.7185203078004629,508,0.24608357569495118,0.23244083066106339
HN6_hn_temp05,PKLR,1025,0.3512859974529892,0.48927247498455895,180,0.6616481096904243,0.6735128847879088,845,0.16139827327102294,0.18730532022026097
NG1_noise_gated,GP1BB,869,0.20818682490057797,0.3083144710141856,143,0.5392931300436858,0.47148075639689035,726,0.048574797187891414,0.0992394756268522
NG1_noise_gated,HBB,432,0.41470948565605364,0.539800967839702,64,0.6846932298731869,0.7194842050276806,368,0.2903689247569366,0.3836317573554345
