model,GP1BB_sp_all,GP1BB_pe_all,GP1BB_sp_hc,GP1BB_pe_hc,GP1BB_sp_lc,GP1BB_pe_lc,GP1BB_n_all,GP1BB_n_hc,GP1BB_n_lc,HBB_sp_all,HBB_pe_all,HBB_sp_hc,HBB_pe_hc,HBB_sp_lc,HBB_pe_lc,HBB_n_all,HBB_n_hc,HBB_n_lc,HBG1_sp_all,HBG1_pe_all,HBG1_sp_hc,HBG1_pe_hc,HBG1_sp_lc,HBG1_pe_lc,HBG1_n_all,HBG1_n_hc,HBG1_n_lc,PKLR_sp_all,PKLR_pe_all,PKLR_sp_hc,PKLR_pe_hc,PKLR_sp_lc,PKLR_pe_lc,PKLR_n_all,PKLR_n_hc,PKLR_n_lc,mean_sp_all,mean_pe_all,mean_sp_hc,mean_pe_hc,mean_sp_lc,mean_pe_lc
HN1_hard_negative,0.2848513814390871,0.4335072755163647,0.6695741250286089,0.5643031784620415,0.11238243522629382,0.16856051149949816,869,143,726,0.3975349710676802,0.5180012645888439,0.6068975968270199,0.6652359548200153,0.27769152889351406,0.3617173848525831,432,64,368,0.41403333362765093,0.655735064897133,0.7134273382288064,0.7185203078004629,0.24608357569495118,0.23244083066106339,633,125,508,0.3512859974529892,0.48927247498455895,0.6616481096904243,0.6735128847879088,0.16139827327102294,0.18730532022026097,1025,180,845,0.36192642089685184,0.5241290199967251,0.662886792443715,0.6553930814676072,0.1993889532714455,0.2375060118083514
HN2_hard_negative,0.26277908135655925,0.40524419584096094,0.5569779336634886,0.44210838580002004,0.10171407112052824,0.1996685371413845,869,143,726,0.3999621493915007,0.5199928642603215,0.7017418163198285,0.7342757310626645,0.2852427923030918,0.3313391488803911,432,64,368,0.35012725442718867,0.4477207368161901,0.599785840099958,0.5779998403367889,0.2184373428820701,0.19027858905671707,633,125,508,0.3326380110464064,0.5209315457522212,0.6753209613412884,0.6600725654846348,0.1404229582869031,0.20220062315954418,1025,180,845,0.3363766240554138,0.47347233566742347,0.6334566378561408,0.603614130671027,0.1864542911481483,0.23087172455950922
HN3_hard_negative,0.32821463437376486,0.5014326895181737,0.5786544911466449,0.5052443936934915,0.14564592417444566,0.28538422098818406,869,143,726,0.367531797941915,0.5130212974125103,0.6166822022204553,0.7537087373184894,0.24990004133230373,0.3340345189757449,432,64,368,0.4107093014714663,0.5850084193760386,0.6864580696511268,0.6494939917717095,0.25452996997400357,0.16040500000391958,633,125,508,0.26107479633701525,0.42226660575486463,0.5646798218819116,0.6361870692678119,0.11552666097494553,0.1260980439237652,1025,180,845,0.34188263253104034,0.5054322530153967,0.6116186462250346,0.6361585480128755,0.19140064911392463,0.22648044597290343
HN5_hn_temp2,0.2848513814390871,0.4335072755163647,0.6695741250286089,0.5643031784620415,0.11238243522629382,0.16856051149949816,869,143,726,0.3975349710676802,0.5180012645888439,0.6068975968270199,0.6652359548200153,0.27769152889351406,0.3617173848525831,432,64,368,0.41403333362765093,0.655735064897133,0.7134273382288064,0.7185203078004629,0.24608357569495118,0.23244083066106339,633,125,508,0.3512859974529892,0.48927247498455895,0.6616481096904243,0.6735128847879088,0.16139827327102294,0.18730532022026097,1025,180,845,0.36192642089685184,0.5241290199967251,0.662886792443715,0.6553930814676072,0.1993889532714455,0.2375060118083514
HN6_hn_temp05,0.2848513814390871,0.4335072755163647,0.6695741250286089,0.5643031784620415,0.11238243522629382,0.16856051149949816,869,143,726,0.3975349710676802,0.5180012645888439,0.6068975968270199,0.6652359548200153,0.27769152889351406,0.3617173848525831,432,64,368,0.41403333362765093,0.655735064897133,0.7134273382288064,0.7185203078004629,0.24608357569495118,0.23244083066106339,633,125,508,0.3512859974529892,0.48927247498455895,0.6616481096904243,0.6735128847879088,0.16139827327102294,0.18730532022026097,1025,180,845,0.36192642089685184,0.5241290199967251,0.662886792443715,0.6553930814676072,0.1993889532714455,0.2375060118083514
NG1_noise_gated,0.20818682490057797,0.3083144710141856,0.5392931300436858,0.47148075639689035,0.048574797187891414,0.0992394756268522,869,143,726,0.41470948565605364,0.539800967839702,0.6846932298731869,0.7194842050276806,0.2903689247569366,0.3836317573554345,432,64,368,0.30546149360700575,0.546065686733044,0.6303225372772372,0.6583091843888348,0.1724117645422058,0.12600054528662533,633,125,508,0.30400297956217726,0.4242155408781108,0.5915831046696903,0.5569476878183172,0.14265028145553815,0.18974592388575418,1025,180,845,0.30809019593145365,0.4545991666162606,0.6114730004659501,0.6015554584079307,0.16350144198564298,0.19965442553866655
NG2_noise_gated,0.29677914668619015,0.43280719495926356,0.6682832185093033,0.5597466658331121,0.10960044384165996,0.20035652739935628,869,143,726,0.3301112166984359,0.37409896381334296,0.5344181896620638,0.5512841567769907,0.23828324121346786,0.28133031672462916,432,64,368,0.4041639708081523,0.5437250288046955,0.6894570449424354,0.6731080157171582,0.24859321936272863,0.19128619057419757,633,125,508,0.25550064719255755,0.4005104622476268,0.585894399968236,0.5262383997161432,0.08880186621960685,0.12978763425041379,1025,180,845,0.321638745346334,0.4377854124562322,0.6195132132705097,0.577594309510851,0.1713196926593658,0.20069016723714922
NG3_noise_gated,0.24851238742054466,0.3855714198355129,0.6078507330284267,0.5014427707936117,0.08217065460355535,0.16058384395297196,869,143,726,0.37878738047538046,0.4905769041542386,0.5724567024327964,0.7115474696800411,0.2834491519076863,0.320305943197831,432,64,368,0.33450031177617084,0.49751270745798476,0.6113607785449983,0.6235914660103637,0.18285657962678253,0.16200835794383356,633,125,508,0.3689013402563705,0.5703337910279979,0.6494578812037486,0.6646707873203617,0.20334654603093114,0.2744404926885211,1025,180,845,0.33267535498211664,0.48599870561893355,0.6102815238024925,0.6253131234510945,0.18795573304223884,0.2293346594457894
NG4_adaptive_ng,0.24793749023157047,0.4309226143190195,0.5618850202893385,0.5042566303666977,0.07992869333339213,0.1306612812041194,869,143,726,0.3640363216588754,0.48105516108838736,0.6382679124795096,0.6372852987374718,0.24904640872824416,0.3199364896402018,432,64,368,0.4133180783971243,0.6050808100943396,0.7165154224170904,0.6923943771454452,0.20085280560232974,0.1685840587797899,633,125,508,0.3234505853090696,0.5676505533985513,0.6863608964916963,0.7385512898561375,0.12895362795805013,0.16592803885491894,1025,180,845,0.33718561889915993,0.5211772847250744,0.6507573129194086,0.643121899026438,0.16469538390550403,0.19627746711975752
NG5_adaptive_ng,0.2751582634169798,0.42179438319459583,0.6640041404604129,0.5895713106465628,0.08065233180394198,0.16068256965688515,869,143,726,0.44243200010283373,0.4618583945800578,0.6856327353090905,0.768245206246305,0.3276045813313923,0.323594783820889,432,64,368,0.33015814704225566,0.5509694549029912,0.662515430850024,0.6822029739756623,0.15891824632539087,0.16468285414673284,633,125,508,0.29835249823883153,0.5862698065255268,0.6377748929807399,0.7427304203357018,0.10708928737598956,0.1629323539267481,1025,180,845,0.33652522720022515,0.5052230098007929,0.6624817999000668,0.6956874778010579,0.16856611170917868,0.20297314038781378
