model,architecture,condition,seed,pearson,spearman,kendall,mse,n_samples,ndcg@100,ndcg@500,ndcg@1000,spearman_extreme,cross_pearson_k562,cross_spearman_k562,cross_pearson_hepg2,cross_spearman_hepg2,cross_pearson_consensus,cross_spearman_consensus,cross_n_samples,cagi5_F9_spearman,cagi5_F9_pearson,cagi5_F9_n,cagi5_GP1BB_spearman,cagi5_GP1BB_pearson,cagi5_GP1BB_n,cagi5_HBB_spearman,cagi5_HBB_pearson,cagi5_HBB_n,cagi5_HBG1_spearman,cagi5_HBG1_pearson,cagi5_HBG1_n,cagi5_HNF4A_spearman,cagi5_HNF4A_pearson,cagi5_HNF4A_n,cagi5_IRF4_spearman,cagi5_IRF4_pearson,cagi5_IRF4_n,cagi5_IRF6_spearman,cagi5_IRF6_pearson,cagi5_IRF6_n,cagi5_LDLR_spearman,cagi5_LDLR_pearson,cagi5_LDLR_n,cagi5_MSMB_spearman,cagi5_MSMB_pearson,cagi5_MSMB_n,cagi5_MYCrs6983267_spearman,cagi5_MYCrs6983267_pearson,cagi5_MYCrs6983267_n,cagi5_PKLR_spearman,cagi5_PKLR_pearson,cagi5_PKLR_n,cagi5_SORT1_spearman,cagi5_SORT1_pearson,cagi5_SORT1_n,cagi5_TERT-GBM_spearman,cagi5_TERT-GBM_pearson,cagi5_TERT-GBM_n,cagi5_TERT-HEK293T_spearman,cagi5_TERT-HEK293T_pearson,cagi5_TERT-HEK293T_n,cagi5_ZFAND3_spearman,cagi5_ZFAND3_pearson,cagi5_ZFAND3_n,cagi5_mean_spearman,cagi5_k562_mean_spearman,probe_experiment_accuracy,probe_activity_r2,probe_activity_spearman,probe_feature_overlap
cnn_baseline_mse_seed42,cnn,baseline_mse,42,0.6542451977729797,0.587633589138107,0.4218670906646359,0.15628965198993683,22571,0.8383124961168267,0.874605506129448,0.8857761289127504,0.7604643760315377,0.7406924366950989,0.7185628148935287,0.676830530166626,0.664928995194734,0.7296232581138611,0.7206120901487149,2226,0.24605490875798372,0.5042075761004101,671,0.21440442768267332,0.3075293848388394,869,0.26220948665853955,0.3156111299400756,432,0.3236781428655935,0.448770125837136,633,0.12197425125287752,0.16267939728475267,672,0.09085887534868206,0.06417877935834221,972,0.16239820194782992,0.06570899326261134,1357,0.3168951414201813,0.527178741007257,717,0.134246782303614,0.14529533418747886,1344,0.06899363690879955,0.06108189071553369,1364,0.1928771626219654,0.25105865867382027,1025,0.11663192867671646,0.0879001433730448,1360,0.4302879099333596,0.42890096834407637,575,0.3285020960693926,0.3343226294745192,575,0.04775633330970896,0.059646168365056346,1247,0.2038512857171945,0.24829230495719296,0.6265406737880033,0.34071624279022217,0.5324360873187295,0.007918767396922708
cnn_consensus_only_seed42,cnn,consensus_only,42,0.46865296363830566,0.39650297486391645,0.2754252697033435,29.939847946166992,22571,0.7919543868000191,0.8348152907835058,0.8382983272777074,0.5621609734842822,0.6637896299362183,0.642182220912344,0.6874734163284302,0.6785719619352937,0.7018465995788574,0.6863148199109682,2226,0.20046413867530732,0.18477177060248695,671,0.15107123324800992,0.18222035396247296,869,0.2645059289578016,0.27571512494697525,432,0.18730513885552585,0.15107610062004304,633,0.10160230223316845,0.09904769591807168,672,0.12925673691146602,0.13027778413036065,972,0.060199985654814964,0.030175722535815734,1357,0.16332961023672452,0.16620597521126035,717,0.06570982414789811,0.05330235177006085,1344,0.05629092603645369,0.07341609385031318,1364,0.032376038194664,0.03464171530280663,1025,0.0312891119455209,0.017509499659443477,1360,0.2599370066185547,0.20571070033906408,575,0.24687502050298304,0.1993795374375683,575,0.07040432618705862,0.06174779019481327,1247,0.13470782189373012,0.15881458481400035,0.636674883593536,0.23664051294326782,0.41545513256668587,0.02583508727165477
cnn_contrastive_only_seed42,cnn,contrastive_only,42,0.6250368356704712,0.557971103076972,0.3960815550284347,0.18059876561164856,22571,0.7946808114958288,0.8450887401919337,0.8656064910399182,0.7473843984323647,0.7899964451789856,0.7779229722841589,0.8597226142883301,0.8596060466851398,0.8471225500106812,0.8562306089076184,2226,0.28775781645312515,0.4178905107294566,671,0.2664918527050274,0.36366209515000353,869,0.2717051955311213,0.30947127465410196,432,0.17608642089884766,0.25986952168613164,633,0.18970152814434407,0.24626750889135052,672,0.14363957498819013,0.18804026323611314,972,0.13575302622676794,0.10321098071475111,1357,0.34795374521256806,0.45292484959326074,717,0.040678684825949454,0.013942229007083126,1344,0.06623648042470763,0.042237830244542626,1364,0.198467789014911,0.2743950075321407,1025,0.26512268341160916,0.23638610854283795,1360,0.414431601561957,0.4380726071455905,575,0.316445705970195,0.3499393097487824,575,0.06565027242989242,0.07114677580120744,1247,0.21240815851994757,0.22818781453747683,0.6473568885236921,0.40375208854675293,0.5910080604366309,0.018659604787979952
cnn_full_disentangle_seed42,cnn,full_disentangle,42,0.6226366758346558,0.5528426452601345,0.39147422405319315,1.5669221878051758,22571,0.8335824379026593,0.8705735944268929,0.8870466967268928,0.7406595510839241,0.8130332231521606,0.8048255188402708,0.8541752696037292,0.8681564086849183,0.8693698048591614,0.8749425923452419,2226,0.2407147073886097,0.4290827330921474,671,0.2798130436845968,0.33885886570772095,869,0.3490590061347206,0.4315422800944777,432,0.15761156521185313,0.27239570875930974,633,0.18203113679022281,0.20961263214666687,672,0.08046361924603161,0.13563372783598965,972,0.13645147321446935,0.10084748637541077,1357,0.2806197052550865,0.35809000256267676,717,0.0831684459592306,0.06610919475022366,1344,0.03502644768621147,0.04625594777030596,1364,0.11135777226123922,0.13634925791535077,1025,0.16160286962146184,0.16303022588765909,1360,0.3764844271855211,0.39498956595280343,575,0.2848204574419724,0.30757823552586994,575,0.07118264069584723,0.046403812008012024,1247,0.1886938211851383,0.22446034682310245,0.6354423445631334,0.3862830400466919,0.5728973621078561,0.04899035774183888
cnn_multi_mse_seed42,cnn,baseline_mse,42,0.6374050378799438,0.5617015680111023,0.3994061078900312,0.17140871286392212,22571,0.8141323899825609,0.8677631896118224,0.8800863995535754,0.7396580292269428,0.8047761917114258,0.782120715980909,0.8586612939834595,0.850337395086777,0.8558632135391235,0.8525949848346421,2226,0.24371306926199046,0.4167312913489139,671,0.2727206693345713,0.33563036070694807,869,0.29607785992722874,0.3277584349957139,432,0.16814389368002391,0.27635750240217744,633,0.168671931423381,0.1941599109028819,672,0.18438022909079754,0.1807651709724923,972,0.1811830368059458,0.11917020324870403,1357,0.2764121926820004,0.43158957087035554,717,0.16149991205522513,0.1238296308599153,1344,0.07911992735231496,0.04245908864086778,1364,0.16308834453860757,0.23772654649579955,1025,0.16461470228296105,0.15474948591854656,1360,0.42149832784264857,0.4631573634788305,575,0.3892021810585732,0.3871792119234507,575,0.09771846268954586,0.09978390448311884,1247,0.21786964933505437,0.22500769187010788,0.6491372226787182,0.3941238522529602,0.5794390283783677,0.17722616741718192
cnn_ranking_contrastive_seed42,cnn,ranking_contrastive,42,0.6292871832847595,0.5676882143954585,0.40244420429171474,0.48629817366600037,22571,0.8238463554967331,0.8694585942517924,0.8795634612362146,0.7455538307942905,0.7874412536621094,0.7755831926590242,0.8309814929962158,0.8387353221031746,0.8440855741500854,0.8440495180087917,2226,0.3100769352232338,0.5299337659434503,671,0.24069848522212625,0.3247214386781747,869,0.3478467943170327,0.41882137003819897,432,0.23766244320724783,0.3355521682980985,633,0.1459892346539407,0.1684076467846149,672,0.11251055622829398,0.11413166887718411,972,0.12423581484570108,0.06549388014900887,1357,0.3293481458447102,0.3282777260443015,717,0.10473365400390461,0.059154565629310735,1344,0.06400209430329158,0.05277038186894258,1364,0.1834438671322977,0.2532654303860162,1025,0.2522942892021058,0.2921308881707946,1360,0.4525352040747416,0.46239947770156964,575,0.35815233306952543,0.3731851201561579,575,0.11458456497888522,0.1169183794614227,1247,0.22520762775380254,0.2524128974696761,0.6380443714050945,0.4001498818397522,0.5910418013928155,0.055793703991232055
cnn_ranking_seed42,cnn,ranking_only,42,0.6294815540313721,0.5826090466915693,0.4156810632435679,0.989223301410675,22571,0.8192018041760185,0.8659799492840144,0.8774223899718061,0.7416309009980878,0.7231926321983337,0.7152995807974809,0.688739538192749,0.6936749606508549,0.7347661852836609,0.7337818382673098,2226,0.2813992693960748,0.45168215146119506,671,0.21655007757025138,0.26373502891946043,869,0.3350033944739104,0.3603986137437195,432,0.3435676091950865,0.47090019469214806,633,0.23118141572928014,0.2336386732127605,672,0.11791944484530116,0.07884226839140951,972,0.15731549840372727,0.08876565897170022,1357,0.31500953327692854,0.42173842737894796,717,0.143251700262765,0.1483490464102786,1344,0.09923601271866231,0.11302846329741764,1364,0.2197127851571698,0.307755775414195,1025,0.13306924451135732,0.09845954448158568,1360,0.43737638338635626,0.43999377810330675,575,0.33210081165352495,0.32720608615543456,575,0.07654635824421767,0.1147151997263553,1247,0.22928263592164094,0.27870846659910453,0.6253081347576006,0.31821000576019287,0.5232966769286519,0.045845620857737586
dilated_cnn_baseline_mse_seed123,dilated_cnn,baseline_mse,123,0.7007156610488892,0.6842060473943131,0.5015777878000617,0.18485605716705322,22571,0.8607254927490064,0.8933619499648637,0.9062921163058058,0.810678832763431,0.8040189146995544,0.810394371704511,0.7572226524353027,0.7697159728260108,0.8097143173217773,0.8244233627762522,2226,0.3239883005348341,0.49765056027300875,671,0.22514592153418955,0.1841990072814479,869,0.3988717394736861,0.5269591280567757,432,0.36116504096647234,0.5325952032473605,633,0.14641476790711141,0.2868677215755888,672,0.08459776338048279,0.08561744006014059,972,0.0959059229909536,0.07203512726058836,1357,0.3305713319037739,0.5359329760326204,717,0.07785042063378189,0.12508548744536319,1344,0.10152687737761226,0.09624310310956548,1364,0.27560675150816977,0.47161756997174503,1025,0.1752121681692477,0.13382156008199692,1360,0.26102370240272516,0.2895931442565914,575,0.1757755209303956,0.20047570698721945,575,0.1365897740285901,0.15725162656865327,1247,0.2113497335828017,0.3151973633706294,0.6279101615995618,0.4152015447616577,0.6071103797016313,0.10466759448920468
dilated_cnn_baseline_mse_seed42,dilated_cnn,baseline_mse,42,0.7360388040542603,0.6773086667868492,0.496910621834269,0.12473074346780777,22571,0.854275083860675,0.8869186840790301,0.902532289798022,0.8158875463987254,0.8336153030395508,0.812013778771565,0.7643793821334839,0.7474426819391982,0.8255611658096313,0.8128606174767141,2226,0.2678923976742462,0.5295548464461867,671,0.25584928950114844,0.3499174770842409,869,0.5003759781218513,0.5673381770676011,432,0.3454239366718127,0.4363298806544932,633,0.0946228875297188,0.23574781965216268,672,0.04988478686446578,0.02361164317548279,972,0.11088061831888273,0.06292436509209728,1357,0.3160031908246029,0.5221630619965103,717,0.13175617675857992,0.15402373189250515,1344,0.13146608028081863,0.17721208645017897,1364,0.2921688116550901,0.5723467222433627,1025,0.12157107947254987,0.13941094822215344,1360,0.4384164600507957,0.45091116234828493,575,0.3330552984926205,0.33678622762808896,575,0.12035700422932173,0.1325472751440803,1247,0.23398159976310032,0.3484545039874756,0.6225691591344837,0.42023664712905884,0.6078885155209953,0.1005620736007657
dilated_cnn_baseline_mse_seed456,dilated_cnn,baseline_mse,456,0.7396501302719116,0.6832098301960509,0.5013958454208138,0.13107571005821228,22571,0.8510560803669786,0.8920881365529876,0.9082069898927427,0.8073723877089465,0.8201947808265686,0.7965645289075552,0.7798470258712769,0.7713758163321531,0.8313630819320679,0.8184471374866207,2226,0.3250452640173497,0.5447335956847857,671,0.25713054017235154,0.37988056986657964,869,0.45193135707632853,0.5836044457032707,432,0.41140752118211266,0.5512056917517911,633,0.2458273007339785,0.3858451597797429,672,0.12867182124725046,0.09240408243046616,972,0.15371702953141408,0.10332926067648227,1357,0.32135495952178217,0.5757403749707573,717,0.1303500101424274,0.18207601717928562,1344,0.1591384541617568,0.15543528125379308,1364,0.3093983702110579,0.5428156066312669,1025,0.14001318898837004,0.12004488789630335,1360,0.1876792964019392,0.23879229168893387,575,0.08260088131761704,0.14401906733980627,575,0.09358076445119574,0.11797373211276597,1247,0.22652311727712876,0.3574669471604626,0.6291427006299644,0.41852420568466187,0.6112186787450831,0.019199621608952236
