model,element,stratification,stratum,n_variants,spearman
bilstm_baseline_mse_seed42,MSMB,position,0,300,0.058529928628435215
bilstm_baseline_mse_seed42,MSMB,position,1,201,0.1071070474660431
bilstm_baseline_mse_seed42,MSMB,position,2,345,0.07366026961817937
bilstm_baseline_mse_seed42,MSMB,position,3,297,0.32216933259681624
bilstm_baseline_mse_seed42,MSMB,position,4,201,0.23035390836903058
bilstm_baseline_mse_seed42,MSMB,mutation_type,False,896,0.1809194430542553
bilstm_baseline_mse_seed42,MSMB,mutation_type,True,448,0.18610543482926784
bilstm_baseline_mse_seed42,MSMB,effect_size,0,438,0.03858576965200861
bilstm_baseline_mse_seed42,MSMB,effect_size,1,270,0.09650200488385023
bilstm_baseline_mse_seed42,MSMB,effect_size,2,311,0.12246991956648723
bilstm_baseline_mse_seed42,MSMB,effect_size,3,325,0.3346273614094785
bilstm_baseline_mse_seed42,MSMB,gc_context,0,528,0.17781635299658058
bilstm_baseline_mse_seed42,MSMB,gc_context,1,225,0.3914118880936172
bilstm_baseline_mse_seed42,MSMB,gc_context,2,324,0.09001451577931859
bilstm_baseline_mse_seed42,MSMB,gc_context,3,267,0.13883440887634724
bilstm_baseline_mse_seed42,MYCrs6983267,position,0,302,0.3514500279786089
bilstm_baseline_mse_seed42,MYCrs6983267,position,1,270,0.10700499585137875
bilstm_baseline_mse_seed42,MYCrs6983267,position,2,285,0.22822366135477826
bilstm_baseline_mse_seed42,MYCrs6983267,position,3,303,-0.04249627519049029
bilstm_baseline_mse_seed42,MYCrs6983267,position,4,204,0.08656574054177897
bilstm_baseline_mse_seed42,MYCrs6983267,mutation_type,False,907,0.14148878089828582
bilstm_baseline_mse_seed42,MYCrs6983267,mutation_type,True,457,0.22975637892582615
bilstm_baseline_mse_seed42,MYCrs6983267,effect_size,0,483,0.0033886833258512834
bilstm_baseline_mse_seed42,MYCrs6983267,effect_size,1,297,-0.0351734431873121
bilstm_baseline_mse_seed42,MYCrs6983267,effect_size,2,285,0.10613938741497508
bilstm_baseline_mse_seed42,MYCrs6983267,effect_size,3,299,0.3973578320831965
bilstm_baseline_mse_seed42,MYCrs6983267,gc_context,0,550,0.016423622148966647
bilstm_baseline_mse_seed42,MYCrs6983267,gc_context,1,255,0.08162073365420638
bilstm_baseline_mse_seed42,MYCrs6983267,gc_context,2,248,0.22099534561561823
bilstm_baseline_mse_seed42,MYCrs6983267,gc_context,3,311,0.37641767844730123
bilstm_baseline_mse_seed42,PKLR,position,0,236,0.2994527664880035
bilstm_baseline_mse_seed42,PKLR,position,1,185,0.42092219186444463
bilstm_baseline_mse_seed42,PKLR,position,2,186,-0.1833870333569441
bilstm_baseline_mse_seed42,PKLR,position,3,231,0.46657055260084657
bilstm_baseline_mse_seed42,PKLR,position,4,187,0.43943935416128005
bilstm_baseline_mse_seed42,PKLR,mutation_type,False,682,0.326994457613696
bilstm_baseline_mse_seed42,PKLR,mutation_type,True,343,0.21301705243097244
bilstm_baseline_mse_seed42,PKLR,effect_size,0,272,0.023688053131412787
bilstm_baseline_mse_seed42,PKLR,effect_size,1,261,0.10051228130536881
bilstm_baseline_mse_seed42,PKLR,effect_size,2,241,0.1318239338881785
bilstm_baseline_mse_seed42,PKLR,effect_size,3,251,0.541276100310723
bilstm_baseline_mse_seed42,PKLR,gc_context,0,315,0.051178996948612825
bilstm_baseline_mse_seed42,PKLR,gc_context,1,263,0.23904439127074978
bilstm_baseline_mse_seed42,PKLR,gc_context,2,222,0.4434584994634382
bilstm_baseline_mse_seed42,PKLR,gc_context,3,225,0.4834773222958177
bilstm_baseline_mse_seed42,SORT1,position,0,309,-0.08288827436887901
bilstm_baseline_mse_seed42,SORT1,position,1,215,0.23565511128964062
bilstm_baseline_mse_seed42,SORT1,position,2,216,0.21398387512679468
bilstm_baseline_mse_seed42,SORT1,position,3,265,-0.03413351481543564
bilstm_baseline_mse_seed42,SORT1,position,4,355,0.42913734142305443
bilstm_baseline_mse_seed42,SORT1,mutation_type,False,905,0.15481832146306712
bilstm_baseline_mse_seed42,SORT1,mutation_type,True,455,0.1394820881337187
bilstm_baseline_mse_seed42,SORT1,effect_size,0,363,-0.04849561540164795
bilstm_baseline_mse_seed42,SORT1,effect_size,1,320,0.012044622746195274
bilstm_baseline_mse_seed42,SORT1,effect_size,2,347,0.1864795345948064
bilstm_baseline_mse_seed42,SORT1,effect_size,3,330,0.1914129015763207
bilstm_baseline_mse_seed42,SORT1,gc_context,0,439,0.13907170625525078
bilstm_baseline_mse_seed42,SORT1,gc_context,1,394,0.21622587496514847
bilstm_baseline_mse_seed42,SORT1,gc_context,2,273,0.13647386535404113
bilstm_baseline_mse_seed42,SORT1,gc_context,3,254,0.07963822091304822
bilstm_baseline_mse_seed42,TERT-GBM,position,0,96,0.22753627090183554
bilstm_baseline_mse_seed42,TERT-GBM,position,1,144,0.5638678532605546
bilstm_baseline_mse_seed42,TERT-GBM,position,2,144,0.36103203553135865
bilstm_baseline_mse_seed42,TERT-GBM,position,3,96,0.7112642670808867
bilstm_baseline_mse_seed42,TERT-GBM,position,4,95,0.01575150967643067
bilstm_baseline_mse_seed42,TERT-GBM,mutation_type,False,383,0.4184006106772831
bilstm_baseline_mse_seed42,TERT-GBM,mutation_type,True,192,0.48959060310410263
bilstm_baseline_mse_seed42,TERT-GBM,effect_size,0,150,-0.03683516340823192
bilstm_baseline_mse_seed42,TERT-GBM,effect_size,1,147,0.2193047958828137
bilstm_baseline_mse_seed42,TERT-GBM,effect_size,2,139,0.2599860405777876
bilstm_baseline_mse_seed42,TERT-GBM,effect_size,3,139,0.6489634012119798
bilstm_baseline_mse_seed42,TERT-GBM,gc_context,0,186,0.5176936105831138
bilstm_baseline_mse_seed42,TERT-GBM,gc_context,1,119,0.2638665965769859
bilstm_baseline_mse_seed42,TERT-GBM,gc_context,2,243,0.3561923721590914
bilstm_baseline_mse_seed42,TERT-GBM,gc_context,3,27,0.8052503052503053
bilstm_baseline_mse_seed42,TERT-HEK293T,position,0,96,0.045689242846303164
bilstm_baseline_mse_seed42,TERT-HEK293T,position,1,144,0.5747756668648193
bilstm_baseline_mse_seed42,TERT-HEK293T,position,2,144,0.24927763435146574
bilstm_baseline_mse_seed42,TERT-HEK293T,position,3,96,0.5493752430126243
bilstm_baseline_mse_seed42,TERT-HEK293T,position,4,95,0.04964812772628878
bilstm_baseline_mse_seed42,TERT-HEK293T,mutation_type,False,383,0.3262704045435446
bilstm_baseline_mse_seed42,TERT-HEK293T,mutation_type,True,192,0.5008125408224748
bilstm_baseline_mse_seed42,TERT-HEK293T,effect_size,0,159,0.07786631098282464
bilstm_baseline_mse_seed42,TERT-HEK293T,effect_size,1,153,0.098103056083554
bilstm_baseline_mse_seed42,TERT-HEK293T,effect_size,2,119,0.19691573240461238
bilstm_baseline_mse_seed42,TERT-HEK293T,effect_size,3,144,0.5615665016043142
bilstm_baseline_mse_seed42,TERT-HEK293T,gc_context,0,186,0.5521137819892928
bilstm_baseline_mse_seed42,TERT-HEK293T,gc_context,1,119,0.29812662044241206
bilstm_baseline_mse_seed42,TERT-HEK293T,gc_context,2,243,0.22747410830729567
bilstm_baseline_mse_seed42,TERT-HEK293T,gc_context,3,27,0.6692120979853414
bilstm_baseline_mse_seed42,ZFAND3,position,0,288,0.21893090917586697
bilstm_baseline_mse_seed42,ZFAND3,position,1,240,0.20590884210682653
bilstm_baseline_mse_seed42,ZFAND3,position,2,192,0.3317915972963509
bilstm_baseline_mse_seed42,ZFAND3,position,3,239,0.024110487485217772
bilstm_baseline_mse_seed42,ZFAND3,position,4,288,0.14845643757332355
bilstm_baseline_mse_seed42,ZFAND3,mutation_type,False,831,0.18436873439771423
