model,extraction_point,experiment_probe_accuracy,random_label_accuracy,activity_probe_r2,activity_probe_spearman
dilated_cnn_full_disentangle_seed42,k562_specific,0.5633333333333334,0.5025,0.42387813329696655,0.5877764462328082
dilated_cnn_full_disentangle_seed42,hepg2_specific,0.56,0.5,0.4238824248313904,0.5877539635614445
dilated_cnn_ranking_contrastive_seed42,pre_bn_raw,0.6183333333333333,0.5025,0.4859502911567688,0.6519350736286212
dilated_cnn_ranking_contrastive_seed42,denoised,0.6225,0.5091666666666667,0.4859350323677063,0.6518171672083121
dilated_cnn_ranking_contrastive_seed42,k562_specific,0.6216666666666667,0.5091666666666667,0.4859381914138794,0.6518166810964987
dilated_cnn_ranking_contrastive_seed42,hepg2_specific,0.6225,0.5083333333333333,0.4859347939491272,0.6518216324925397
bilstm_two_stage_seed42,pre_bn_raw,0.55,0.5141666666666667,0.416485071182251,0.5736441029027528
bilstm_two_stage_seed42,denoised,0.5366666666666666,0.5216666666666666,0.41545623540878296,0.570591511687898
bilstm_two_stage_seed42,k562_specific,0.5375,0.5191666666666667,0.41547179222106934,0.5706310499394533
bilstm_two_stage_seed42,hepg2_specific,0.5383333333333333,0.5183333333333333,0.4154391288757324,0.5706139978314891
dilated_cnn_two_stage_seed42,pre_bn_raw,0.535,0.48083333333333333,0.3991352319717407,0.5695486039314754
dilated_cnn_two_stage_seed42,denoised,0.5441666666666667,0.4791666666666667,0.39979517459869385,0.5692640201870767
dilated_cnn_two_stage_seed42,k562_specific,0.5441666666666667,0.47833333333333333,0.3998015522956848,0.5692939473136381
dilated_cnn_two_stage_seed42,hepg2_specific,0.5508333333333333,0.47833333333333333,0.39981257915496826,0.569305839691927
bilstm_variant_contrastive_seed42,pre_bn_raw,0.5208333333333334,0.47583333333333333,0.4511231780052185,0.6126982947310409
bilstm_variant_contrastive_seed42,denoised,0.5283333333333333,0.4841666666666667,0.44853025674819946,0.606884796750431
bilstm_variant_contrastive_seed42,k562_specific,0.5316666666666666,0.48,0.44853824377059937,0.606931154456281
bilstm_variant_contrastive_seed42,hepg2_specific,0.5308333333333334,0.48583333333333334,0.4485204219818115,0.6068223661046979
dilated_cnn_variant_contrastive_seed42,pre_bn_raw,0.585,0.505,0.4337446093559265,0.5946950284393294
dilated_cnn_variant_contrastive_seed42,denoised,0.5833333333333334,0.5191666666666667,0.4374440908432007,0.5966467402954577
dilated_cnn_variant_contrastive_seed42,k562_specific,0.5808333333333333,0.5191666666666667,0.4374634027481079,0.5967157647007153
dilated_cnn_variant_contrastive_seed42,hepg2_specific,0.5833333333333334,0.5191666666666667,0.4374246597290039,0.5965900596580301
bilstm_hierarchical_contrastive_seed42,pre_bn_raw,0.5325,0.49916666666666665,0.462993860244751,0.6164894564571644
bilstm_hierarchical_contrastive_seed42,denoised,0.53,0.49083333333333334,0.46178627014160156,0.6162450359652236
bilstm_hierarchical_contrastive_seed42,k562_specific,0.5291666666666667,0.49083333333333334,0.46186888217926025,0.6162896089462735
bilstm_hierarchical_contrastive_seed42,hepg2_specific,0.5308333333333334,0.49333333333333335,0.461706280708313,0.616227539412173
dilated_cnn_hierarchical_contrastive_seed42,pre_bn_raw,0.62,0.515,0.49541306495666504,0.6466926736951534
dilated_cnn_hierarchical_contrastive_seed42,denoised,0.6166666666666667,0.5166666666666667,0.49551504850387573,0.6468737920123243
dilated_cnn_hierarchical_contrastive_seed42,k562_specific,0.6183333333333333,0.515,0.49551624059677124,0.6468921045387757
dilated_cnn_hierarchical_contrastive_seed42,hepg2_specific,0.6166666666666667,0.5175,0.495513916015625,0.6468742677074557
bilstm_quantile_mse_seed42,pre_bn_raw,0.5333333333333333,0.4866666666666667,0.3223506212234497,0.4953892641735196
bilstm_quantile_mse_seed42,denoised,0.5375,0.48833333333333334,0.32294297218322754,0.49498731914848776
bilstm_e3_gc_dependent_baseline_seed42,pre_bn_raw,0.5383333333333333,0.5058333333333334,0.3164767622947693,0.48605844166788453
bilstm_e3_gc_dependent_baseline_seed42,denoised,0.5408333333333334,0.49916666666666665,0.31519895792007446,0.4835036810332296
bilstm_e3_gc_dependent_baseline_seed42,k562_specific,0.5408333333333334,0.49916666666666665,0.31519895792007446,0.4835036810332296
bilstm_e3_gc_dependent_baseline_seed42,hepg2_specific,0.5408333333333334,0.49916666666666665,0.31519895792007446,0.4835036810332296
bilstm_e3_gc_dependent_disentangle_seed42,pre_bn_raw,0.5575,0.5091666666666667,0.33275073766708374,0.5073898197021032
bilstm_e3_gc_dependent_disentangle_seed42,denoised,0.5666666666666667,0.4925,0.2917880415916443,0.4954510281516231
bilstm_e3_gc_dependent_disentangle_seed42,k562_specific,0.5658333333333333,0.49333333333333335,0.29177361726760864,0.49543235798576624
bilstm_e3_gc_dependent_disentangle_seed42,hepg2_specific,0.5658333333333333,0.49166666666666664,0.2917957305908203,0.4954477607857925
